id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
32,7.7,0.69,0.09,2.6,0.0819999999999999,19.0,28.0,0.9971,3.32,0.57,10.0,5.0
33,8.2,0.64,0.21,2.0,0.088,6.0,15.0,0.99682,3.2,0.58,10.7,5.0
34,7.1,0.35,0.42,1.9,0.0819999999999999,21.0,77.0,0.99668,3.26,0.55,9.5,4.0
35,11.9,0.66,0.33,2.1,0.068,6.0,16.0,0.9971,3.19,0.77,10.4,6.0
36,9.1,0.635,0.24,2.1,0.107,17.0,38.0,0.998,3.36,0.7,10.2,6.0
37,7.8,0.63,0.22,2.3,0.098,5.0,10.0,0.9958,3.36,0.65,9.0,5.0
38,6.6,0.47,0.08,2.2,0.066,15.0,34.0,0.9963,3.42,0.6,11.2,7.0
39,7.2,0.52,0.31,2.3,0.08,10.0,27.0,0.99655,3.36,0.79,11.4,6.0
40,10.0,0.32,0.48,1.8,0.08,3.0,11.0,0.9966,3.16,0.62,10.3,5.0
41,7.5,0.5,0.26,2.5,0.079,6.0,13.0,0.99716,3.21,0.83,9.5,6.0
42,7.5,0.74,0.08,2.0,0.069,10.0,47.0,0.9974,3.33,0.62,12.0,7.0
43,7.7,0.41,0.6,1.9,0.077,4.0,14.0,0.99668,3.24,0.66,9.5,6.0
44,7.4,0.54,0.02,2.4,0.073,19.0,42.0,0.9969,3.4,0.52,12.0,7.0
45,6.2,0.55,0.02,2.6,0.077,18.0,47.0,0.9976,3.56,0.67,12.5,7.0
46,7.0,0.74,0.0,1.4,0.064,7.0,16.0,0.9964,3.3,0.78,10.3,6.0
47,11.7,0.41,0.49,2.0,0.077,26.0,60.0,1.00012,3.16,0.79,9.6,5.0
48,7.1,0.64,0.21,2.8,0.08,7.0,17.0,0.99746,3.54,0.54,9.7,6.0
49,9.2,0.59,0.49,2.0,0.065,7.0,20.0,0.99668,3.12,0.58,10.4,5.0
50,7.9,0.46,0.3,2.5,0.085,6.0,23.0,0.9952,3.38,0.57,11.6,6.0
51,8.3,0.24,0.5,2.8,0.069,17.0,77.0,0.9973,3.34,0.77,12.1,6.0
52,10.0,0.4,0.46,2.3,0.073,6.0,13.0,0.9968,3.24,0.61,11.2,6.0
53,7.3,0.66,0.06,1.5,0.073,14.0,45.0,0.9983,3.12,0.54,9.2,5.0
54,7.6,0.37,0.31,1.7,0.076,6.0,14.0,0.9963,3.47,0.62,9.4,6.0
55,8.0,0.46,0.24,1.8,0.071,6.0,13.0,0.99572,3.39,0.56,10.5,7.0
56,9.1,0.36,0.44,2.5,0.089,18.0,31.0,0.9982,3.23,0.55,9.6,6.0
57,7.4,0.69,0.0,2.4,0.081,5.0,19.0,0.9972,3.27,0.54,9.6,5.0
58,9.6,0.31,0.48,2.3,0.0969999999999999,6.0,13.0,0.99606,3.22,0.48,10.5,6.0
59,6.7,0.645,0.0,1.7,0.092,18.0,38.0,0.9954,3.47,0.66,9.4,5.0
60,11.3,0.41,0.4,1.7,0.0819999999999999,19.0,50.0,0.9976,3.15,0.75,12.4,7.0
61,6.4,0.685,0.0,2.1,0.09,31.0,131.0,0.99572,3.33,0.58,9.6,8.0
62,7.1,0.56,0.17,1.8,0.074,5.0,11.0,0.99746,3.3,0.57,9.6,5.0
63,6.6,0.58,0.02,1.8,0.072,5.0,13.0,0.9971,3.56,0.65,9.5,5.0
64,9.6,0.58,0.22,2.0,0.078,20.0,49.0,0.99668,3.22,0.62,9.5,6.0
65,11.3,0.3,0.51,2.5,0.074,5.0,10.0,0.99576,3.36,0.58,10.2,6.0
66,8.8,0.68,0.05,2.0,0.062,9.0,25.0,0.9994,3.22,0.54,9.3,5.0
67,7.7,0.43,0.33,2.2,0.074,15.0,28.0,0.99572,3.18,0.62,11.0,6.0
68,7.9,0.65,0.04,1.6,0.08,18.0,64.0,0.99702,3.43,0.59,9.5,5.0
69,7.0,0.59,0.03,2.1,0.076,17.0,38.0,0.9956,3.45,0.58,11.0,6.0
70,8.0,0.6,0.4,1.9,0.074,5.0,14.0,0.9962,3.2,0.6,9.5,6.0
71,7.3,0.52,0.06,2.6,0.064,25.0,68.0,0.9994,3.35,0.56,12.3,5.0
72,9.1,0.48,0.24,2.3,0.075,4.0,15.0,0.9944,3.28,0.54,9.5,6.0
73,7.0,0.6,0.0,1.9,0.064,4.0,18.0,0.9962,3.5,0.7,9.6,5.0
74,10.6,0.37,0.4,1.8,0.071,6.0,19.0,0.99774,3.29,0.67,9.9,6.0
75,9.5,0.57,0.08,2.6,0.092,7.0,32.0,0.9971,3.26,0.66,10.6,5.0
76,6.7,0.61,0.12,2.2,0.063,14.0,19.0,0.9957,3.28,0.6,9.4,5.0
77,6.8,0.24,0.31,1.8,0.083,12.0,47.0,0.9967,3.53,0.57,9.5,7.0
78,7.1,0.38,0.24,2.2,0.074,19.0,58.0,0.9982,3.38,0.76,9.5,5.0
79,6.6,0.685,0.04,2.4,0.072,7.0,25.0,0.99685,3.22,0.55,11.2,7.0
80,7.1,0.55,0.0,2.1,0.0819999999999999,5.0,15.0,0.99744,3.26,0.59,9.5,7.0
81,8.3,0.32,0.47,2.0,0.072,6.0,16.0,0.9956,3.45,0.62,9.2,6.0
82,6.8,0.61,0.02,2.2,0.087,24.0,124.0,0.99668,3.54,0.56,9.5,5.0
83,7.6,0.54,0.03,2.7,0.076,14.0,35.0,0.9991,3.33,0.54,9.6,5.0
84,10.6,0.54,0.47,2.1,0.073,7.0,31.0,0.9982,3.25,0.64,10.6,4.0
85,8.9,0.42,0.27,1.7,0.077,23.0,91.0,0.9978,3.52,0.59,9.4,5.0
86,7.6,0.44,0.21,2.6,0.07,41.0,52.0,0.9964,3.38,0.54,9.6,5.0
87,6.6,0.34,0.25,1.9,0.076,12.0,25.0,0.9972,3.44,0.66,9.8,5.0
88,9.2,0.46,0.32,2.0,0.0819999999999999,21.0,44.0,0.9968,3.46,0.52,9.2,6.0
89,11.8,0.41,0.34,1.7,0.08,13.0,28.0,0.9955,3.29,0.65,9.4,5.0
90,7.8,0.24,0.42,2.1,0.074,16.0,32.0,0.9956,3.47,0.76,10.8,7.0
91,7.8,0.43,0.26,2.8,0.076,6.0,16.0,0.99746,3.36,0.54,9.9,6.0
92,7.3,0.7,0.0,2.1,0.09,5.0,13.0,0.99603,3.17,0.58,9.1,5.0
93,11.5,0.28,0.44,2.6,0.081,11.0,24.0,0.9973,3.2,0.63,9.5,5.0
94,8.7,0.32,0.49,2.0,0.08,6.0,28.0,0.99732,3.49,0.58,11.2,5.0
95,7.4,0.45,0.15,2.1,0.073,13.0,28.0,0.9983,3.42,0.6,10.2,6.0
96,7.8,0.6,0.26,1.9,0.08,5.0,14.0,0.99498,3.2,0.55,9.9,4.0
97,7.9,0.43,0.26,2.1,0.0819999999999999,10.0,18.0,0.9964,3.35,0.57,9.9,6.0
98,7.3,0.59,0.02,2.0,0.084,5.0,26.0,0.9982,3.33,0.74,11.8,7.0
99,8.3,0.59,0.01,2.6,0.07,15.0,31.0,0.99494,3.34,0.6,9.8,5.0
100,11.3,0.28,0.49,2.2,0.078,25.0,40.0,0.9958,3.23,0.67,9.6,5.0
101,10.4,0.42,0.49,2.3,0.064,6.0,23.0,0.9994,3.24,0.65,11.0,6.0
102,9.6,0.43,0.43,2.1,0.073,11.0,41.0,0.9981,3.28,0.64,9.7,5.0
103,7.1,0.55,0.0,2.3,0.078,8.0,18.0,0.99655,3.47,0.57,9.5,6.0
104,12.4,0.34,0.47,2.1,0.076,8.0,14.0,0.9969,3.3,0.55,11.2,7.0
105,6.4,0.39,0.24,2.3,0.075,10.0,44.0,0.99528,3.41,0.67,12.8,7.0
106,7.0,0.685,0.0,2.6,0.07,6.0,16.0,0.99652,3.36,0.74,10.3,6.0
107,7.0,0.49,0.25,2.3,0.083,7.0,24.0,0.99656,3.32,0.58,11.2,6.0
108,10.0,0.62,0.08,2.3,0.075,4.0,8.0,0.99565,3.38,0.68,10.5,5.0
109,7.8,0.58,0.21,1.7,0.078,20.0,129.0,0.9956,3.43,0.56,9.4,6.0
110,8.7,0.5,0.24,2.3,0.1009999999999999,10.0,23.0,0.99528,3.23,0.75,11.4,5.0
111,9.2,0.58,0.05,2.9,0.09,17.0,64.0,0.9948,3.6,0.58,9.2,5.0
112,8.9,0.6,0.24,2.3,0.072,12.0,64.0,0.99572,3.35,0.62,9.2,5.0
113,11.6,0.31,0.66,2.1,0.076,14.0,31.0,0.995,3.36,0.58,11.0,7.0
114,7.4,0.44,0.33,2.3,0.067,5.0,20.0,0.99492,3.38,0.5,9.5,5.0
115,9.9,0.57,0.44,2.0,0.076,9.0,38.0,0.9962,3.16,0.62,10.0,5.0
116,9.7,0.27,0.4,2.0,0.08,6.0,14.0,0.9958,3.16,0.52,10.7,6.0
117,6.8,0.59,0.05,2.1,0.08,15.0,58.0,0.99828,3.46,0.57,9.4,5.0
118,7.8,0.56,0.05,2.8,0.063,20.0,44.0,0.9964,3.39,0.46,9.2,5.0
119,10.2,0.28,0.4,2.1,0.092,11.0,29.0,0.9968,3.07,1.06,10.0,7.0
120,8.8,0.32,0.49,2.4,0.076,13.0,31.0,0.99702,3.24,0.73,9.8,5.0
121,9.9,0.42,0.5,2.1,0.0819999999999999,10.0,35.0,0.9978,3.23,0.53,9.2,5.0
122,7.8,0.61,0.04,1.6,0.069,17.0,38.0,0.9973,3.38,0.55,9.3,5.0
123,7.7,0.62,0.14,2.7,0.088,11.0,45.0,0.9959,3.38,0.57,9.4,5.0
124,7.2,0.51,0.14,2.2,0.066,6.0,31.0,0.9991,3.25,0.61,9.6,6.0
125,7.1,0.635,0.21,2.8,0.0969999999999999,17.0,42.0,0.9962,3.55,0.51,11.0,7.0
126,7.9,0.715,0.07,2.3,0.087,31.0,60.0,0.99552,3.35,0.61,12.1,6.0
127,7.1,0.59,0.21,1.8,0.07,11.0,24.0,0.99498,3.47,0.57,9.1,5.0
128,8.3,0.43,0.24,2.0,0.092,18.0,41.0,0.99584,3.17,0.57,9.5,5.0
129,7.0,0.84,0.27,2.3,0.094,13.0,38.0,0.9976,3.39,0.63,9.9,5.0
130,8.9,0.49,0.1,1.8,0.0819999999999999,18.0,34.0,0.99588,3.29,0.65,10.8,6.0
131,8.1,0.28,0.48,2.1,0.093,13.0,30.0,0.99242,3.18,0.76,10.4,6.0
132,8.6,0.6,0.27,2.6,0.079,10.0,49.0,0.9978,3.32,0.62,10.9,5.0
133,7.2,0.37,0.32,1.8,0.071,17.0,45.0,0.99576,3.28,0.87,11.6,6.0
134,9.9,0.43,0.24,2.0,0.07,26.0,52.0,0.9966,3.32,0.55,9.8,6.0
135,7.0,0.48,0.18,2.3,0.079,31.0,64.0,0.99656,3.3,0.73,9.9,5.0
136,6.2,0.28,0.28,1.7,0.076,11.0,47.0,0.9964,3.36,0.65,9.6,5.0
137,9.1,0.52,0.31,2.6,0.074,22.0,105.0,0.99702,3.35,0.56,9.9,6.0
138,8.3,0.6,0.15,2.0,0.079,36.0,142.0,0.9982,3.32,0.56,9.9,6.0
139,6.8,0.685,0.01,2.0,0.08,12.0,20.0,0.99576,3.29,0.48,10.4,5.0
140,6.1,0.31,0.49,2.0,0.075,5.0,14.0,0.9971,3.32,0.71,12.4,6.0
141,7.1,0.52,0.19,2.0,0.0969999999999999,17.0,42.0,0.9982,3.14,0.54,12.5,7.0
142,8.4,0.68,0.1,2.0,0.081,10.0,21.0,0.9959,3.4,0.57,10.8,6.0
143,8.9,0.36,0.24,2.2,0.08,29.0,66.0,0.99652,3.18,0.61,9.0,5.0
144,8.6,0.36,0.42,2.2,0.077,18.0,27.0,0.9986,3.31,0.48,10.5,6.0
145,8.3,0.52,0.22,2.7,0.08,6.0,15.0,0.9968,3.29,0.57,11.4,7.0
146,8.1,0.59,0.02,1.5,0.076,29.0,52.0,0.99557,3.3,0.64,10.9,6.0
147,12.3,0.48,0.49,2.6,0.086,9.0,18.0,0.9982,3.3,0.79,11.8,7.0
148,7.8,0.6,0.0,2.0,0.0819999999999999,13.0,46.0,0.99476,3.44,0.49,9.4,6.0
149,11.9,0.39,0.42,2.1,0.074,4.0,12.0,0.9968,3.34,0.6,10.5,7.0
150,9.4,0.5,0.29,2.2,0.089,19.0,48.0,0.99746,3.43,0.55,9.4,6.0
151,6.5,0.6,0.25,2.0,0.0819999999999999,11.0,42.0,0.9978,3.4,0.61,12.1,7.0
152,9.2,0.43,0.34,2.0,0.069,5.0,13.0,0.9982,3.26,0.61,9.7,5.0
153,8.2,0.52,0.2,2.4,0.078,16.0,86.0,0.9968,3.27,0.68,9.8,5.0
154,7.8,0.43,0.24,2.8,0.077,14.0,37.0,0.9964,3.39,0.56,10.8,6.0
155,8.2,0.41,0.34,2.1,0.095,7.0,15.0,0.997,3.2,0.62,9.2,5.0
156,7.0,0.6,0.0,2.2,0.086,6.0,16.0,0.9974,3.44,0.74,11.0,6.0
157,12.7,0.59,0.0,1.9,0.09,20.0,54.0,0.9988,3.47,0.58,9.6,6.0
158,7.3,0.43,0.23,2.2,0.074,8.0,25.0,0.9968,3.4,0.55,9.2,5.0
159,9.5,0.36,0.49,2.9,0.079,14.0,27.0,0.99685,3.31,1.17,9.5,5.0
160,7.5,0.45,0.25,1.8,0.084,12.0,24.0,0.99492,3.27,0.63,9.4,5.0
161,7.3,0.38,0.32,1.9,0.104,14.0,45.0,0.9982,3.3,0.6,9.7,6.0
162,7.4,0.41,0.31,1.8,0.08,16.0,46.0,0.99419,3.19,0.52,9.4,5.0
163,7.3,0.55,0.03,2.0,0.081,15.0,28.0,0.9982,3.36,0.68,9.4,5.0
164,9.3,0.69,0.15,2.3,0.093,17.0,65.0,0.9994,3.32,0.65,9.5,6.0
165,6.4,0.58,0.04,2.3,0.084,5.0,16.0,0.9976,3.16,0.66,10.3,6.0
166,7.0,0.56,0.03,1.2,0.071,18.0,44.0,0.9966,3.39,0.54,9.4,5.0
167,7.2,0.64,0.07,2.1,0.062,11.0,22.0,0.9959,3.39,0.67,10.7,6.0
168,6.4,0.63,0.08,1.8,0.08,10.0,24.0,0.99668,3.55,0.58,14.0,6.0
169,7.1,0.62,0.14,2.1,0.073,12.0,35.0,0.99504,3.36,0.62,9.1,6.0
170,7.1,0.715,0.01,2.1,0.075,24.0,44.0,0.99632,3.23,0.55,9.2,5.0
171,7.5,0.5,0.12,1.9,0.075,38.0,77.0,0.99584,3.35,0.54,9.4,5.0
172,8.3,0.57,0.21,2.1,0.071,11.0,63.0,0.9987,3.45,0.57,9.9,5.0
173,8.0,0.56,0.15,2.7,0.075,18.0,54.0,0.99708,3.41,0.56,9.2,6.0
174,7.5,0.54,0.02,2.3,0.079,8.0,28.0,0.99734,3.49,0.59,9.6,5.0
175,7.8,0.37,0.22,2.2,0.08,13.0,28.0,0.9982,3.24,0.61,9.7,5.0
176,8.6,0.66,0.0,2.3,0.0819999999999999,7.0,20.0,0.9968,3.16,0.63,9.8,5.0
177,9.2,0.49,0.29,2.5,0.095,1.0,24.0,0.9966,3.27,0.77,9.6,5.0
178,7.0,0.56,0.12,1.7,0.067,12.0,21.0,0.9976,3.44,0.56,9.5,5.0
179,7.9,0.76,0.02,1.6,0.093,3.0,9.0,0.9976,3.51,0.57,9.5,6.0
180,13.5,0.38,0.73,2.0,0.083,11.0,65.0,1.0004,3.02,0.73,11.0,7.0
181,5.8,0.58,0.01,1.8,0.074,12.0,20.0,0.99458,3.52,0.63,9.5,7.0
182,7.0,0.45,0.26,2.6,0.074,28.0,71.0,0.99498,3.21,0.54,10.3,6.0
183,8.6,0.645,0.4,2.1,0.092,16.0,33.0,0.9973,3.2,0.66,12.0,5.0
184,8.3,0.39,0.43,2.6,0.065,6.0,14.0,0.9965,3.21,0.67,10.2,6.0
185,7.6,0.57,0.08,3.3,0.063,41.0,94.0,0.99552,3.49,0.44,9.5,5.0
186,8.5,1.04,0.46,2.8,0.084,6.0,31.0,0.9988,3.19,0.59,11.3,6.0
187,6.5,0.5,0.0,2.6,0.084,33.0,141.0,0.9976,3.42,0.54,10.8,6.0
188,7.8,0.28,0.32,2.1,0.079,8.0,28.0,0.99572,3.48,0.58,10.9,5.0
189,8.9,0.59,0.0,2.0,0.064,32.0,85.0,0.99708,3.37,0.71,10.9,5.0
190,11.3,0.31,0.39,2.1,0.088,5.0,14.0,0.9988,3.3,0.46,12.8,6.0
191,8.5,0.41,0.31,2.1,0.069,4.0,20.0,0.99536,3.36,0.79,10.5,6.0
192,8.4,0.38,0.33,1.6,0.0579999999999999,10.0,27.0,0.99498,3.07,0.6,11.8,6.0
193,6.9,0.61,0.01,2.3,0.077,6.0,16.0,0.9988,3.46,0.52,9.3,5.0
194,8.8,0.69,0.0,1.6,0.092,18.0,24.0,0.9978,3.48,0.65,10.5,7.0
195,11.7,0.5,0.0,2.5,0.07,10.0,45.0,0.9987,3.36,0.56,11.7,6.0
196,7.1,0.59,0.0,2.1,0.073,9.0,62.0,0.9976,3.53,0.57,9.4,5.0
197,8.0,0.4,0.49,2.0,0.091,5.0,10.0,0.9991,3.22,0.64,11.6,7.0
198,7.8,0.39,0.12,2.3,0.086,14.0,48.0,0.99694,3.16,0.65,9.5,5.0
199,7.1,0.49,0.01,2.3,0.074,16.0,86.0,0.99514,3.29,0.54,9.5,6.0
200,7.6,0.54,0.04,2.0,0.062,7.0,26.0,0.9987,3.32,1.05,9.8,4.0
201,7.4,0.64,0.08,1.7,0.064,23.0,110.0,0.9968,3.26,0.64,9.5,6.0
202,7.1,0.38,0.32,2.2,0.0819999999999999,26.0,62.0,0.9964,3.42,0.48,9.0,5.0
203,7.1,0.56,0.23,2.8,0.074,27.0,44.0,0.9978,3.21,0.71,12.1,7.0
204,8.7,0.645,0.0,2.2,0.079,7.0,32.0,0.99745,3.39,0.54,9.5,5.0
205,7.7,0.65,0.07,2.0,0.066,18.0,35.0,0.995,3.38,0.55,11.3,6.0
206,7.0,0.67,0.0,2.1,0.075,8.0,25.0,0.9994,2.98,0.73,10.5,6.0
207,11.4,0.67,0.6,1.9,0.079,7.0,32.0,0.9955,3.39,0.76,10.0,7.0
208,8.3,0.38,0.47,2.2,0.08,13.0,58.0,0.9973,3.04,0.57,9.5,5.0
209,9.1,0.5,0.49,2.5,0.062,8.0,19.0,0.99761,3.19,0.58,10.0,5.0
210,6.7,0.51,0.04,1.8,0.078,4.0,14.0,0.99689,3.54,0.51,9.5,6.0
211,8.9,0.57,0.26,2.1,0.081,6.0,14.0,0.99538,3.33,0.67,9.7,5.0
212,8.0,0.47,0.28,2.3,0.0819999999999999,31.0,88.0,0.9972,3.17,0.62,9.8,5.0
213,8.9,0.58,0.16,1.8,0.071,18.0,40.0,0.9964,3.26,0.86,9.4,5.0
214,7.8,0.37,0.35,3.0,0.066,21.0,77.0,0.99726,3.41,0.6,10.9,8.0
215,8.2,0.45,0.33,4.1,0.085,5.0,16.0,0.9987,3.39,0.49,10.3,7.0
216,6.4,0.66,0.02,2.2,0.066,6.0,12.0,0.9978,3.47,0.87,11.4,6.0
217,7.1,0.35,0.34,2.2,0.132,19.0,48.0,0.99552,3.38,0.54,9.5,6.0
218,7.5,0.58,0.04,1.6,0.08,16.0,88.0,0.9964,3.26,0.8,9.4,5.0
219,8.4,0.61,0.0,1.7,0.072,11.0,22.0,0.997,3.29,0.54,9.4,5.0
220,6.9,0.53,0.03,2.1,0.079,14.0,35.0,0.9988,3.56,0.58,10.8,6.0
221,6.6,0.31,0.31,1.8,0.078,19.0,24.0,0.9976,3.3,0.59,10.0,5.0
222,9.1,0.45,0.66,2.0,0.074,5.0,11.0,0.9991,3.2,0.6,10.9,6.0
223,7.1,0.54,0.0,1.5,0.07,9.0,42.0,0.9974,3.4,0.6,9.4,6.0
224,7.4,0.655,0.06,1.6,0.086,15.0,45.0,0.9991,3.42,0.52,9.1,4.0
225,6.7,0.645,0.0,2.3,0.081,9.0,18.0,0.99494,3.35,0.63,10.7,6.0
226,7.2,0.64,0.0,1.5,0.065,16.0,59.0,0.9964,3.59,0.55,12.5,5.0
227,8.0,0.41,0.32,2.4,0.0819999999999999,6.0,10.0,0.99656,3.12,0.62,9.8,6.0
228,10.3,0.39,0.31,1.6,0.054,13.0,27.0,0.9972,3.42,0.78,10.2,6.0
229,7.6,0.65,0.0,2.1,0.0969999999999999,16.0,64.0,0.9988,3.34,0.77,9.9,5.0
230,7.9,0.6,0.14,2.0,0.083,29.0,54.0,0.99504,3.29,0.6,9.3,5.0
231,10.9,0.36,0.49,2.1,0.071,11.0,52.0,0.99685,3.15,0.51,9.5,7.0
232,8.5,0.4,0.48,2.8,0.077,6.0,17.0,0.9984,3.4,0.59,9.3,5.0
233,10.6,0.4,0.36,2.2,0.084,3.0,9.0,0.9976,3.3,0.75,10.8,6.0
234,7.4,0.69,0.02,2.1,0.05,21.0,92.0,0.9984,3.45,0.52,9.5,5.0
235,8.1,0.6,0.24,2.0,0.07,17.0,89.0,0.9976,3.33,0.78,9.5,7.0
236,7.1,0.4,0.34,2.4,0.074,5.0,12.0,0.99418,3.38,0.84,9.2,6.0
237,7.2,0.63,0.0,2.6,0.087,23.0,28.0,0.9982,3.33,0.62,9.6,5.0
238,7.5,0.53,0.0,2.3,0.086,6.0,12.0,0.99704,3.2,0.61,9.8,5.0
239,6.8,0.46,0.32,2.5,0.074,6.0,16.0,0.99672,3.31,0.59,12.3,6.0
240,10.0,0.6,0.21,2.0,0.064,7.0,31.0,0.9958,3.32,0.58,9.3,3.0
241,7.4,0.36,0.43,1.9,0.079,21.0,54.0,0.99642,3.23,0.58,9.8,7.0
242,6.9,0.725,0.0,2.5,0.078,17.0,59.0,0.9982,3.44,0.56,9.9,5.0
243,12.6,0.45,0.53,2.0,0.077,4.0,9.0,0.99774,3.16,0.7,9.5,5.0
244,7.0,0.56,0.03,2.0,0.072,19.0,48.0,0.9966,3.6,0.55,9.2,6.0
245,7.2,0.58,0.1,2.1,0.0819999999999999,26.0,61.0,0.9966,3.42,0.53,9.7,6.0
246,6.4,0.59,0.29,2.1,0.072,12.0,25.0,0.99774,3.26,0.73,9.5,6.0
247,8.3,0.46,0.49,1.8,0.102,6.0,12.0,0.9964,3.35,0.71,10.1,6.0
248,7.1,0.43,0.42,2.6,0.093,18.0,46.0,0.9971,3.2,0.62,9.8,6.0
249,7.7,0.65,0.13,2.2,0.078,7.0,21.0,0.99546,3.33,0.55,9.4,5.0
250,11.3,0.52,0.68,2.2,0.073,9.0,28.0,0.9986,3.29,0.58,9.4,5.0
251,8.3,0.5,0.28,2.9,0.095,32.0,48.0,0.99538,3.32,0.62,9.5,7.0
252,8.0,0.4,0.49,2.2,0.066,7.0,21.0,0.99316,3.3,0.62,9.7,5.0
253,7.0,0.55,0.1,2.2,0.083,5.0,12.0,0.9978,3.44,0.7,11.2,7.0
254,7.5,0.4,0.3,2.0,0.0819999999999999,31.0,142.0,0.99633,3.39,0.69,9.5,6.0
255,7.6,0.49,0.24,2.1,0.076,5.0,12.0,0.99588,3.47,0.56,9.3,5.0
256,8.9,0.47,0.24,2.2,0.067,12.0,45.0,0.9986,3.14,0.64,11.1,6.0
257,9.2,0.35,0.34,2.0,0.08,8.0,44.0,0.998,3.3,0.49,10.9,5.0
258,6.0,0.4,0.0,2.1,0.084,5.0,13.0,0.99448,3.36,0.59,9.5,6.0
259,7.6,0.46,0.3,2.1,0.076,25.0,119.0,0.9976,3.26,0.57,9.3,5.0
260,8.3,0.52,0.24,2.2,0.08,5.0,21.0,0.99576,3.35,0.54,11.3,7.0
261,7.2,0.56,0.23,1.7,0.077,4.0,23.0,0.9972,3.35,0.64,9.8,5.0
262,8.0,0.59,0.08,2.6,0.087,8.0,18.0,0.99547,3.32,0.87,11.9,5.0
263,5.3,0.55,0.0,1.4,0.0819999999999999,10.0,23.0,0.99622,3.43,0.55,9.9,6.0
264,7.1,0.59,0.15,2.1,0.078,7.0,20.0,0.9976,3.26,0.59,9.5,5.0
265,6.8,0.55,0.03,1.8,0.0559999999999999,8.0,17.0,0.99472,3.36,0.75,11.3,7.0
266,12.0,0.39,0.49,1.9,0.067,6.0,15.0,1.0004,3.33,0.68,10.2,6.0
267,10.4,0.5,0.24,2.2,0.08,14.0,29.0,0.9971,3.19,0.54,10.0,5.0
268,9.8,0.62,0.23,2.0,0.088,8.0,25.0,0.9964,3.45,0.65,11.3,6.0
